New Orleans Pelicans	101	Orlando Magic	84
San Antonio Spurs	101	Dallas Mavericks	100
Houston Rockets	108	Los Angeles Lakers	90
Charlotte Hornets	108	Milwaukee Bucks	106
Indiana Pacers	103	Philadelphia 76ers	91
Boston Celtics	121	Brooklyn Nets	105
Miami Heat	107	Washington Wizards	95
Toronto Raptors	109	Atlanta Hawks	102
Memphis Grizzlies	105	Minnesota Timberwolves	101
Chicago Bulls	104	New York Knicks	80
Denver Nuggets	89	Detroit Pistons	79
Houston Rockets	104	Utah Jazz	93
Phoenix Suns	119	Los Angeles Lakers	99
Golden State Warriors	95	Sacramento Kings	77
Portland Trail Blazers	106	Oklahoma City Thunder	89
Washington Wizards	105	Orlando Magic	98
Minnesota Timberwolves	97	Detroit Pistons	91
New York Knicks	95	Cleveland Cavaliers	90
Dallas Mavericks	120	Utah Jazz	102
Los Angeles Clippers	93	Oklahoma City Thunder	90
Memphis Grizzlies	97	Indiana Pacers	89
Cleveland Cavaliers	114	Chicago Bulls	108
Milwaukee Bucks	93	Philadelphia 76ers	81
Phoenix Suns	94	San Antonio Spurs	89
Sacramento Kings	103	Portland Trail Blazers	94
Los Angeles Clippers	118	Los Angeles Lakers	111
Dallas Mavericks	109	New Orleans Pelicans	104
Memphis Grizzlies	71	Charlotte Hornets	69
Toronto Raptors	108	Orlando Magic	95
Miami Heat	114	Philadelphia 76ers	96
Washington Wizards	108	Milwaukee Bucks	97
Atlanta Hawks	102	Indiana Pacers	92
Brooklyn Nets	102	Detroit Pistons	90
Houston Rockets	104	Boston Celtics	90
Chicago Bulls	106	Minnesota Timberwolves	105
Oklahoma City Thunder	102	Denver Nuggets	91
Utah Jazz	118	Phoenix Suns	91
Golden State Warriors	127	Los Angeles Lakers	104
Sacramento Kings	98	Los Angeles Clippers	92
Miami Heat	107	Toronto Raptors	102
New York Knicks	96	Charlotte Hornets	93
Golden State Warriors	95	Portland Trail Blazers	90
Houston Rockets	104	Philadelphia 76ers	93
Brooklyn Nets	116	Oklahoma City Thunder	85
Memphis Grizzlies	93	New Orleans Pelicans	81
Dallas Mavericks	118	Boston Celtics	113
Sacramento Kings	110	Denver Nuggets	105
Los Angeles Clippers	107	Utah Jazz	101
Milwaukee Bucks	87	Indiana Pacers	81
Houston Rockets	108	Miami Heat	91
Washington Wizards	98	New York Knicks	83
Toronto Raptors	100	Oklahoma City Thunder	88
Chicago Bulls	98	Orlando Magic	90
New Orleans Pelicans	100	Charlotte Hornets	91
Portland Trail Blazers	101	Cleveland Cavaliers	82
Phoenix Suns	112	Los Angeles Lakers	106
Charlotte Hornets	96	Miami Heat	89
Orlando Magic	91	Philadelphia 76ers	89
Toronto Raptors	110	Boston Celtics	107
Minnesota Timberwolves	98	Brooklyn Nets	91
Detroit Pistons	98	New York Knicks	95
Chicago Bulls	95	Milwaukee Bucks	86
Washington Wizards	96	Indiana Pacers	94
San Antonio Spurs	94	Atlanta Hawks	92
Memphis Grizzlies	102	Phoenix Suns	91
Utah Jazz	102	Cleveland Cavaliers	100
Sacramento Kings	131	Denver Nuggets	109
Golden State Warriors	121	Los Angeles Clippers	104
Houston Rockets	98	San Antonio Spurs	81
Portland Trail Blazers	108	Dallas Mavericks	87
Charlotte Hornets	122	Atlanta Hawks	119
Orlando Magic	112	Minnesota Timberwolves	103
Chicago Bulls	118	Philadelphia 76ers	115
Boston Celtics	101	Indiana Pacers	98
Brooklyn Nets	110	New York Knicks	99
Detroit Pistons	98	Milwaukee Bucks	95
Toronto Raptors	103	Washington Wizards	84
Memphis Grizzlies	91	Oklahoma City Thunder	89
Sacramento Kings	114	Phoenix Suns	112
Dallas Mavericks	105	Utah Jazz	82
Cleveland Cavaliers	110	Denver Nuggets	101
Los Angeles Clippers	106	Portland Trail Blazers	102
Washington Wizards	97	Indiana Pacers	90
Atlanta Hawks	103	New York Knicks	96
Miami Heat	102	Minnesota Timberwolves	92
Boston Celtics	106	Chicago Bulls	101
Golden State Warriors	98	Houston Rockets	87
Milwaukee Bucks	93	Memphis Grizzlies	92
New Orleans Pelicans	100	San Antonio Spurs	99
